rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay,delay_range,rental_id_join,delay_at_checkout_in_minutes_join,real_delay
540562,230201,connect,ended,-594.0,539340.0,180.0,On time,On time,539340,-18.0,198.0
566973,349894,connect,ended,-592.0,563509.0,60.0,On time,On time,563509,-432.0,492.0
564510,367632,connect,ended,-579.0,563613.0,720.0,On time,On time,563613,11.0,709.0
526660,367632,connect,canceled,,563613.0,720.0,Unknown,Unknown,563613,11.0,709.0
571119,355444,connect,ended,-555.0,570983.0,150.0,On time,On time,570983,-61.0,211.0
552544,341648,mobile,ended,-545.0,557072.0,330.0,On time,On time,557072,13.0,317.0
548050,300505,connect,ended,-538.0,541486.0,0.0,On time,On time,541486,12.0,-12.0
546489,352528,connect,ended,-533.0,546578.0,570.0,On time,On time,546578,-536.0,1106.0
546160,352528,connect,canceled,,546578.0,630.0,Unknown,Unknown,546578,-536.0,1166.0
546387,352528,connect,canceled,,546578.0,600.0,Unknown,Unknown,546578,-536.0,1136.0
550069,368354,mobile,ended,-488.0,547423.0,90.0,On time,On time,547423,53.0,37.0
545265,387753,connect,ended,-483.0,546021.0,720.0,On time,On time,546021,-5.0,725.0
546557,311923,connect,ended,-470.0,539744.0,240.0,On time,On time,539744,-104.0,344.0
567020,216576,connect,ended,-470.0,563059.0,150.0,On time,On time,563059,-24.0,174.0
566831,384942,mobile,ended,-464.0,518025.0,720.0,On time,On time,518025,132.0,588.0
569297,390467,connect,ended,-451.0,566704.0,150.0,On time,On time,566704,,
554605,265239,connect,ended,-431.0,551587.0,90.0,On time,On time,551587,12.0,78.0
542592,385131,connect,ended,-428.0,535537.0,120.0,On time,On time,535537,-102.0,222.0
554183,362187,connect,ended,-426.0,556500.0,180.0,On time,On time,556500,15.0,165.0
567278,241021,connect,ended,-425.0,563925.0,240.0,On time,On time,563925,-31.0,271.0
566230,339993,mobile,ended,-414.0,555368.0,720.0,On time,On time,555368,138.0,582.0
559594,291932,connect,ended,-408.0,556581.0,150.0,On time,On time,556581,-18.0,168.0
557587,295830,connect,ended,-404.0,563792.0,720.0,On time,On time,563792,0.0,720.0
553988,404791,mobile,ended,-402.0,557032.0,60.0,On time,On time,557032,8.0,52.0
567091,402989,connect,ended,-397.0,557053.0,60.0,On time,On time,557053,-95.0,155.0
574537,369648,connect,ended,-389.0,571606.0,120.0,On time,On time,571606,-600.0,720.0
559959,376601,mobile,ended,-383.0,559138.0,60.0,On time,On time,559138,33.0,27.0
537360,367365,connect,ended,-370.0,543323.0,630.0,On time,On time,543323,2.0,628.0
528560,377119,connect,ended,-369.0,539582.0,120.0,On time,On time,539582,98.0,22.0
520824,396532,mobile,ended,-365.0,536007.0,90.0,On time,On time,536007,46.0,44.0
543736,241021,connect,ended,-361.0,540311.0,30.0,On time,On time,540311,48.0,-18.0
552211,384040,connect,ended,-358.0,539551.0,0.0,On time,On time,539551,-1.0,1.0
557404,181625,connect,ended,-352.0,554077.0,120.0,On time,On time,554077,6.0,114.0
547748,367164,mobile,ended,-347.0,523230.0,600.0,On time,On time,523230,83.0,517.0
554066,410571,mobile,ended,-320.0,548898.0,120.0,On time,On time,548898,47.0,73.0
569504,337219,connect,ended,-317.0,555979.0,660.0,On time,On time,555979,-111.0,771.0
543535,371572,connect,ended,-312.0,548202.0,390.0,On time,On time,548202,29.0,361.0
529301,320824,connect,ended,-308.0,551094.0,540.0,On time,On time,551094,-43.0,583.0
566407,381857,connect,ended,-306.0,566456.0,390.0,On time,On time,566456,-15.0,405.0
540952,389785,connect,ended,-295.0,527270.0,540.0,On time,On time,527270,3.0,537.0
571324,366164,connect,ended,-294.0,566181.0,450.0,On time,On time,566181,-24.0,474.0
566398,241021,connect,ended,-288.0,568399.0,0.0,On time,On time,568399,-57.0,57.0
569173,274949,mobile,ended,-286.0,565577.0,0.0,On time,On time,565577,-259.0,259.0
569162,274949,mobile,canceled,,565577.0,210.0,Unknown,Unknown,565577,-259.0,469.0
533802,373893,connect,ended,-286.0,558560.0,0.0,On time,On time,558560,-775.0,775.0
546516,248889,connect,ended,-282.0,548781.0,0.0,On time,On time,548781,-118.0,118.0
571823,353425,connect,ended,-276.0,569556.0,240.0,On time,On time,569556,-177.0,417.0
563830,361262,mobile,ended,-274.0,564208.0,270.0,On time,On time,564208,90.0,180.0
552169,412539,mobile,ended,-262.0,551183.0,270.0,On time,On time,551183,19.0,251.0
560500,377781,mobile,ended,-259.0,544750.0,0.0,On time,On time,544750,-50.0,50.0
558525,297962,connect,ended,-256.0,555341.0,30.0,On time,On time,555341,-24.0,54.0
545984,305525,connect,ended,-253.0,545963.0,720.0,On time,On time,545963,-33.0,753.0
517688,366371,connect,ended,-245.0,539108.0,0.0,On time,On time,539108,-39.0,39.0
536480,392368,connect,ended,-242.0,537825.0,690.0,On time,On time,537825,5.0,685.0
562071,288973,mobile,ended,-232.0,572580.0,30.0,On time,On time,572580,-12.0,42.0
561664,403240,connect,ended,-232.0,561032.0,630.0,On time,On time,561032,-1.0,631.0
539588,392368,connect,ended,-226.0,544319.0,60.0,On time,On time,544319,-484.0,544.0
545732,374684,mobile,ended,-226.0,542561.0,720.0,On time,On time,542561,-1.0,721.0
542028,317298,connect,ended,-225.0,538558.0,30.0,On time,On time,538558,-9.0,39.0
541445,385629,connect,ended,-221.0,544389.0,480.0,On time,On time,544389,23.0,457.0
546064,314220,mobile,ended,-218.0,550400.0,150.0,On time,On time,550400,10.0,140.0
548556,375553,mobile,ended,-216.0,561402.0,60.0,On time,On time,561402,-8.0,68.0
530110,216148,connect,ended,-211.0,541841.0,60.0,On time,On time,541841,40.0,20.0
546501,314456,connect,ended,-210.0,540134.0,210.0,On time,On time,540134,62.0,148.0
565273,351468,mobile,ended,-209.0,559473.0,90.0,On time,On time,559473,62.0,28.0
551327,376626,mobile,ended,-207.0,538892.0,660.0,On time,On time,538892,19.0,641.0
550830,374298,connect,ended,-200.0,550317.0,90.0,On time,On time,550317,11.0,79.0
543792,274598,mobile,ended,-199.0,536619.0,120.0,On time,On time,536619,6.0,114.0
541398,298117,connect,ended,-197.0,538630.0,150.0,On time,On time,538630,2.0,148.0
521258,371933,mobile,ended,-197.0,555541.0,180.0,On time,On time,555541,19.0,161.0
548465,369230,mobile,ended,-197.0,534486.0,690.0,On time,On time,534486,-99.0,789.0
538211,280805,connect,ended,-195.0,530261.0,60.0,On time,On time,530261,28.0,32.0
551041,390467,connect,ended,-194.0,566227.0,630.0,On time,On time,566227,-17.0,647.0
536315,369230,mobile,ended,-191.0,536343.0,720.0,On time,On time,536343,780.0,-60.0
542965,339015,mobile,ended,-189.0,533719.0,360.0,On time,On time,533719,322.0,38.0
559914,284054,mobile,ended,-187.0,554378.0,120.0,On time,On time,554378,-315.0,435.0
558129,344254,connect,ended,-185.0,558115.0,690.0,On time,On time,558115,6.0,684.0
548933,355788,mobile,ended,-182.0,549479.0,720.0,On time,On time,549479,60.0,660.0
537439,305525,connect,ended,-181.0,531276.0,660.0,On time,On time,531276,-145.0,805.0
567086,386325,mobile,ended,-181.0,566591.0,720.0,On time,On time,566591,-31.0,751.0
572870,349618,mobile,ended,-178.0,567694.0,210.0,On time,On time,567694,-17.0,227.0
566944,327575,mobile,ended,-174.0,553521.0,540.0,On time,On time,553521,53.0,487.0
551369,304392,connect,ended,-174.0,551492.0,630.0,On time,On time,551492,-17.0,647.0
543931,190291,connect,ended,-173.0,535349.0,510.0,On time,On time,535349,-37.0,547.0
569498,402528,connect,ended,-173.0,562527.0,630.0,On time,On time,562527,-203.0,833.0
564913,407315,mobile,ended,-172.0,565399.0,0.0,On time,On time,565399,70.0,-70.0
554746,334118,mobile,ended,-171.0,548107.0,30.0,On time,On time,548107,-277.0,307.0
556836,270935,mobile,ended,-171.0,546478.0,300.0,On time,On time,546478,8.0,292.0
544080,289901,connect,ended,-170.0,548270.0,600.0,On time,On time,548270,-473.0,1073.0
563901,376491,connect,ended,-170.0,559165.0,240.0,On time,On time,559165,90.0,150.0
549762,280227,connect,ended,-170.0,551649.0,90.0,On time,On time,551649,34.0,56.0
546893,385629,connect,ended,-169.0,541445.0,0.0,On time,On time,541445,-221.0,221.0
568153,312716,mobile,ended,-166.0,541645.0,120.0,On time,On time,541645,39.0,81.0
566071,403054,mobile,ended,-166.0,565660.0,480.0,On time,On time,565660,2.0,478.0
535519,353425,connect,ended,-166.0,533413.0,0.0,On time,On time,533413,4.0,-4.0
564890,396266,mobile,ended,-165.0,562788.0,510.0,On time,On time,562788,121.0,389.0
549512,251447,connect,ended,-165.0,548048.0,0.0,On time,On time,548048,-27.0,27.0
558702,376840,connect,ended,-164.0,552598.0,690.0,On time,On time,552598,10.0,680.0
523194,216576,connect,ended,-163.0,548778.0,120.0,On time,On time,548778,-1.0,121.0
542891,325328,connect,ended,-163.0,549523.0,630.0,On time,On time,549523,121.0,509.0
541863,358982,connect,ended,-159.0,540103.0,720.0,On time,On time,540103,-2.0,722.0
541294,366866,mobile,ended,-158.0,540776.0,120.0,On time,On time,540776,6.0,114.0
558030,316678,connect,ended,-158.0,549892.0,240.0,On time,On time,549892,23.0,217.0
536046,406075,mobile,ended,-158.0,538415.0,420.0,On time,On time,538415,29.0,391.0
561334,410939,connect,ended,-157.0,565171.0,0.0,On time,On time,565171,-15.0,15.0
557183,410939,connect,canceled,,565171.0,0.0,Unknown,Unknown,565171,-15.0,15.0
547299,321676,mobile,ended,-156.0,549756.0,30.0,On time,On time,549756,3.0,27.0
537126,359049,connect,ended,-156.0,539408.0,720.0,On time,On time,539408,-6.0,726.0
537575,409296,mobile,ended,-156.0,543251.0,0.0,On time,On time,543251,-18.0,18.0
542252,353425,connect,ended,-153.0,547277.0,210.0,On time,On time,547277,-42.0,252.0
555087,341105,mobile,ended,-152.0,541340.0,600.0,On time,On time,541340,-79.0,679.0
571038,341861,connect,ended,-152.0,574571.0,540.0,On time,On time,574571,-54.0,594.0
543005,396483,connect,ended,-152.0,542616.0,0.0,On time,On time,542616,4.0,-4.0
554954,403749,mobile,ended,-152.0,548087.0,540.0,On time,On time,548087,,
515799,392368,connect,ended,-151.0,538120.0,510.0,On time,On time,538120,-103.0,613.0
560278,362187,connect,ended,-151.0,559898.0,690.0,On time,On time,559898,-8.0,698.0
535939,386259,connect,ended,-151.0,538439.0,720.0,On time,On time,538439,-171.0,891.0
565170,318371,mobile,ended,-150.0,560843.0,0.0,On time,On time,560843,44.0,-44.0
549442,408506,mobile,ended,-150.0,548118.0,120.0,On time,On time,548118,9.0,111.0
563790,398586,connect,ended,-149.0,565280.0,600.0,On time,On time,565280,-137.0,737.0
548540,299063,connect,ended,-147.0,549939.0,150.0,On time,On time,549939,-112.0,262.0
561339,366872,connect,ended,-146.0,566968.0,690.0,On time,On time,566968,-31.0,721.0
563387,366164,connect,ended,-146.0,536892.0,360.0,On time,On time,536892,17.0,343.0
542399,400945,mobile,ended,-144.0,535665.0,60.0,On time,On time,535665,-51.0,111.0
527468,216148,connect,ended,-143.0,542805.0,690.0,On time,On time,542805,77.0,613.0
537879,392683,connect,ended,-142.0,550313.0,0.0,On time,On time,550313,-26.0,26.0
543696,347208,connect,ended,-141.0,538244.0,510.0,On time,On time,538244,23.0,487.0
551643,392479,mobile,ended,-139.0,553125.0,240.0,On time,On time,553125,88.0,152.0
550575,402078,mobile,ended,-139.0,543717.0,0.0,On time,On time,543717,-7.0,7.0
561645,383625,connect,ended,-138.0,567392.0,0.0,On time,On time,567392,15.0,-15.0
505560,320824,connect,ended,-137.0,532695.0,120.0,On time,On time,532695,0.0,120.0
538844,365926,connect,ended,-136.0,537243.0,300.0,On time,On time,537243,242.0,58.0
532575,365926,connect,canceled,,537243.0,360.0,Unknown,Unknown,537243,242.0,118.0
532113,365926,connect,canceled,,537243.0,300.0,Unknown,Unknown,537243,242.0,58.0
538300,365926,connect,canceled,,537243.0,270.0,Unknown,Unknown,537243,242.0,28.0
550894,304068,mobile,ended,-135.0,543851.0,60.0,On time,On time,543851,12.0,48.0
552256,320824,connect,ended,-134.0,529301.0,720.0,On time,On time,529301,-308.0,1028.0
548867,217819,mobile,ended,-134.0,544074.0,270.0,On time,On time,544074,-46.0,316.0
540269,403153,mobile,ended,-134.0,537244.0,660.0,On time,On time,537244,-17.0,677.0
544891,392368,connect,ended,-133.0,546533.0,30.0,On time,On time,546533,-276.0,306.0
540583,194340,connect,ended,-133.0,541969.0,30.0,On time,On time,541969,43.0,-13.0
553308,368432,mobile,ended,-133.0,562021.0,630.0,On time,On time,562021,-2.0,632.0
543805,334190,connect,ended,-130.0,543980.0,0.0,On time,On time,543980,-42.0,42.0
534414,349861,mobile,ended,-130.0,539791.0,690.0,On time,On time,539791,670.0,20.0
574868,371387,mobile,ended,-129.0,571864.0,720.0,On time,On time,571864,-232.0,952.0
550248,382901,mobile,ended,-127.0,545782.0,60.0,On time,On time,545782,-9.0,69.0
549714,346208,connect,ended,-126.0,553005.0,240.0,On time,On time,553005,-6.0,246.0
564819,394928,connect,ended,-126.0,567186.0,540.0,On time,On time,567186,2.0,538.0
554170,402209,mobile,ended,-125.0,564541.0,390.0,On time,On time,564541,102.0,288.0
569583,332998,mobile,ended,-125.0,566841.0,570.0,On time,On time,566841,13.0,557.0
571713,311923,connect,ended,-123.0,544337.0,600.0,On time,On time,544337,21.0,579.0
565020,341881,connect,ended,-123.0,563188.0,240.0,On time,On time,563188,-38.0,278.0
544225,230201,connect,ended,-122.0,540562.0,30.0,On time,On time,540562,-594.0,624.0
547919,183514,mobile,ended,-121.0,547720.0,60.0,On time,On time,547720,-5.0,65.0
542810,390729,mobile,ended,-121.0,540933.0,0.0,On time,On time,540933,-14.0,14.0
551933,391325,mobile,ended,-121.0,543706.0,60.0,On time,On time,543706,,
551708,391325,mobile,canceled,,543706.0,390.0,Unknown,Unknown,543706,,
538722,176670,connect,ended,-121.0,538870.0,30.0,On time,On time,538870,-30.0,60.0
560564,409718,mobile,ended,-121.0,557338.0,570.0,On time,On time,557338,2.0,568.0
545551,388466,mobile,ended,-120.0,556990.0,180.0,On time,On time,556990,201.0,-21.0
540382,310444,connect,ended,-120.0,533896.0,210.0,On time,On time,533896,265.0,-55.0
565263,339138,connect,ended,-119.0,563988.0,0.0,On time,On time,563988,-5.0,5.0
562201,412104,mobile,ended,-119.0,563920.0,120.0,On time,On time,563920,92.0,28.0
552949,352528,connect,ended,-119.0,546489.0,270.0,On time,On time,546489,-533.0,803.0
552472,352528,connect,canceled,,546489.0,180.0,Unknown,Unknown,546489,-533.0,713.0
573792,373511,mobile,ended,-118.0,574297.0,30.0,On time,On time,574297,3.0,27.0
566664,408140,mobile,ended,-115.0,549726.0,660.0,On time,On time,549726,72.0,588.0
545757,388438,mobile,ended,-115.0,546278.0,0.0,On time,On time,546278,-54.0,54.0
543269,365961,mobile,ended,-115.0,535195.0,210.0,On time,On time,535195,-825.0,1035.0
540202,408267,mobile,ended,-115.0,537171.0,30.0,On time,On time,537171,17.0,13.0
567371,317572,connect,ended,-114.0,568169.0,120.0,On time,On time,568169,-76.0,196.0
564616,383443,connect,ended,-113.0,563616.0,540.0,On time,On time,563616,-42.0,582.0
553294,394380,mobile,ended,-113.0,540105.0,720.0,On time,On time,540105,8.0,712.0
560571,398152,connect,ended,-113.0,552192.0,690.0,On time,On time,552192,153.0,537.0
560659,223850,mobile,ended,-112.0,559026.0,180.0,On time,On time,559026,145.0,35.0
541570,358567,connect,ended,-112.0,550224.0,720.0,On time,On time,550224,-7.0,727.0
526953,340333,connect,ended,-111.0,537953.0,300.0,On time,On time,537953,-13.0,313.0
548726,397569,connect,ended,-111.0,546439.0,60.0,On time,On time,546439,-95.0,155.0
565672,216148,connect,ended,-111.0,553717.0,150.0,On time,On time,553717,-46.0,196.0
548088,402562,connect,ended,-111.0,546511.0,120.0,On time,On time,546511,14.0,106.0
561125,195977,connect,ended,-110.0,565777.0,30.0,On time,On time,565777,-2.0,32.0
553999,406161,mobile,ended,-110.0,556375.0,0.0,On time,On time,556375,9.0,-9.0
542067,406161,mobile,canceled,,556375.0,480.0,Unknown,Unknown,556375,9.0,471.0
565569,310444,connect,ended,-110.0,561408.0,570.0,On time,On time,561408,-54.0,624.0
549116,356203,mobile,ended,-110.0,538281.0,150.0,On time,On time,538281,12.0,138.0
543920,403265,mobile,ended,-108.0,534967.0,60.0,On time,On time,534967,-11.0,71.0
539328,333407,mobile,ended,-107.0,540590.0,90.0,On time,On time,540590,-57.0,147.0
543210,402562,connect,ended,-107.0,538013.0,0.0,On time,On time,538013,-37.0,37.0
560568,390702,connect,ended,-106.0,549612.0,720.0,On time,On time,549612,2.0,718.0
559282,314456,connect,ended,-106.0,566613.0,60.0,On time,On time,566613,10.0,50.0
568317,314220,mobile,ended,-106.0,561970.0,720.0,On time,On time,561970,-8.0,728.0
573065,407084,mobile,ended,-105.0,569017.0,360.0,On time,On time,569017,111.0,249.0
539370,402235,mobile,ended,-105.0,542031.0,120.0,On time,On time,542031,-32.0,152.0
556467,369938,connect,ended,-105.0,547952.0,240.0,On time,On time,547952,144.0,96.0
557969,385721,connect,ended,-104.0,551402.0,600.0,On time,On time,551402,94.0,506.0
553302,368432,mobile,ended,-104.0,567818.0,570.0,On time,On time,567818,-986.0,1556.0
549509,368432,mobile,canceled,,567818.0,630.0,Unknown,Unknown,567818,-986.0,1616.0
538120,392368,connect,ended,-103.0,535637.0,120.0,On time,On time,535637,21.0,99.0
550250,403153,mobile,ended,-102.0,547495.0,630.0,On time,On time,547495,393.0,237.0
552425,385625,connect,ended,-102.0,550476.0,30.0,On time,On time,550476,-236.0,266.0
561623,386880,mobile,ended,-102.0,553117.0,630.0,On time,On time,553117,65.0,565.0
555716,412909,mobile,ended,-102.0,562141.0,540.0,On time,On time,562141,68.0,472.0
560076,352528,connect,ended,-102.0,561362.0,30.0,On time,On time,561362,-21.0,51.0
572285,241021,connect,ended,-101.0,571991.0,30.0,On time,On time,571991,-14.0,44.0
548232,349678,connect,ended,-100.0,547238.0,180.0,On time,On time,547238,-652.0,832.0
548190,349678,connect,canceled,,547238.0,180.0,Unknown,Unknown,547238,-652.0,832.0
555861,361518,mobile,ended,-100.0,563287.0,30.0,On time,On time,563287,22.0,8.0
565489,355900,connect,ended,-100.0,567036.0,600.0,On time,On time,567036,86.0,514.0
569141,379462,mobile,ended,-99.0,557980.0,120.0,On time,On time,557980,1.0,119.0
553939,402528,connect,ended,-99.0,558730.0,0.0,On time,On time,558730,6.0,-6.0
556928,245154,connect,ended,-99.0,556011.0,60.0,On time,On time,556011,99.0,-39.0
510250,317024,connect,ended,-98.0,555935.0,270.0,On time,On time,555935,50.0,220.0
564691,361789,mobile,ended,-97.0,560638.0,690.0,On time,On time,560638,-892.0,1582.0
565255,374809,connect,ended,-97.0,566437.0,90.0,On time,On time,566437,2.0,88.0
559287,334190,connect,ended,-97.0,560890.0,120.0,On time,On time,560890,-19.0,139.0
522151,259952,mobile,ended,-97.0,550409.0,0.0,On time,On time,550409,26.0,-26.0
549796,371572,connect,ended,-96.0,543535.0,60.0,On time,On time,543535,-312.0,372.0
551892,376491,connect,ended,-96.0,550998.0,540.0,On time,On time,550998,-56.0,596.0
527925,401281,connect,ended,-96.0,535185.0,60.0,On time,On time,535185,-500.0,560.0
539625,337217,mobile,ended,-95.0,537192.0,270.0,On time,On time,537192,-253.0,523.0
565959,324889,mobile,ended,-94.0,562206.0,720.0,On time,On time,562206,-90.0,810.0
565840,392479,mobile,ended,-94.0,569171.0,240.0,On time,On time,569171,-59.0,299.0
526733,192179,connect,ended,-94.0,541656.0,720.0,On time,On time,541656,-58.0,778.0
552111,313955,mobile,ended,-94.0,544602.0,300.0,On time,On time,544602,42.0,258.0
568224,381499,connect,ended,-93.0,562174.0,0.0,On time,On time,562174,73.0,-73.0
568049,381499,connect,canceled,,562174.0,720.0,Unknown,Unknown,562174,73.0,647.0
565393,370055,connect,ended,-93.0,563668.0,660.0,On time,On time,563668,24.0,636.0
506452,393172,connect,ended,-93.0,555818.0,30.0,On time,On time,555818,17.0,13.0
538116,289901,connect,ended,-92.0,532257.0,660.0,On time,On time,532257,-157.0,817.0
551055,409197,mobile,ended,-91.0,543333.0,240.0,On time,On time,543333,3.0,237.0
552213,359045,connect,ended,-91.0,567058.0,60.0,On time,On time,567058,88.0,-28.0
559725,362507,connect,ended,-91.0,557052.0,60.0,On time,On time,557052,-29.0,89.0
552606,336902,mobile,ended,-90.0,533303.0,600.0,On time,On time,533303,-340.0,940.0
549471,334190,connect,ended,-89.0,554043.0,630.0,On time,On time,554043,15.0,615.0
554420,374741,connect,ended,-89.0,565100.0,0.0,On time,On time,565100,-71.0,71.0
548896,318371,mobile,ended,-89.0,551963.0,330.0,On time,On time,551963,62.0,268.0
545207,407411,mobile,ended,-89.0,532724.0,570.0,On time,On time,532724,16.0,554.0
535647,317572,connect,ended,-89.0,533793.0,0.0,On time,On time,533793,-17.0,17.0
557990,312572,mobile,ended,-89.0,558495.0,0.0,On time,On time,558495,73.0,-73.0
548952,356630,mobile,ended,-88.0,523527.0,720.0,On time,On time,523527,-66.0,786.0
563999,371632,connect,ended,-88.0,556474.0,540.0,On time,On time,556474,118.0,422.0
568789,402153,mobile,ended,-88.0,568035.0,720.0,On time,On time,568035,47.0,673.0
567288,386259,connect,ended,-86.0,559685.0,180.0,On time,On time,559685,-217.0,397.0
564168,382444,mobile,ended,-86.0,553599.0,90.0,On time,On time,553599,0.0,90.0
566344,176220,connect,ended,-86.0,561304.0,330.0,On time,On time,561304,-75.0,405.0
543281,363387,mobile,ended,-86.0,540115.0,0.0,On time,On time,540115,-38.0,38.0
565711,367627,mobile,ended,-86.0,561444.0,540.0,On time,On time,561444,35.0,505.0
551425,374360,connect,ended,-85.0,559958.0,570.0,On time,On time,559958,-132.0,702.0
515855,400293,mobile,ended,-83.0,540635.0,570.0,On time,On time,540635,,
553030,374626,mobile,ended,-82.0,548963.0,630.0,On time,On time,548963,48.0,582.0
541143,387753,connect,ended,-82.0,539236.0,510.0,On time,On time,539236,-261.0,771.0
543513,404130,connect,ended,-82.0,541766.0,0.0,On time,On time,541766,-581.0,581.0
560206,412025,mobile,ended,-82.0,558245.0,480.0,On time,On time,558245,24.0,456.0
545233,366371,connect,ended,-81.0,517688.0,720.0,On time,On time,517688,-245.0,965.0
544363,409750,mobile,ended,-81.0,539021.0,120.0,On time,On time,539021,-100.0,220.0
532779,349678,connect,ended,-80.0,538006.0,30.0,On time,On time,538006,4.0,26.0
527199,388767,mobile,ended,-79.0,513582.0,180.0,On time,On time,513582,28.0,152.0
536509,281116,mobile,ended,-79.0,529888.0,180.0,On time,On time,529888,169.0,11.0
561761,364907,connect,ended,-78.0,560285.0,720.0,On time,On time,560285,-169.0,889.0
544373,344254,connect,ended,-77.0,549312.0,690.0,On time,On time,549312,-264.0,954.0
545916,307364,connect,ended,-77.0,545822.0,30.0,On time,On time,545822,26.0,4.0
518368,368132,mobile,ended,-77.0,535618.0,720.0,On time,On time,535618,-40.0,760.0
539300,351319,mobile,ended,-77.0,535020.0,0.0,On time,On time,535020,28.0,-28.0
566648,383110,connect,ended,-77.0,568065.0,480.0,On time,On time,568065,-64.0,544.0
528808,181625,connect,ended,-76.0,557404.0,330.0,On time,On time,557404,-352.0,682.0
553531,376901,connect,ended,-74.0,565868.0,30.0,On time,On time,565868,-19.0,49.0
535749,403430,mobile,ended,-74.0,536548.0,0.0,On time,On time,536548,,
552800,335276,connect,ended,-74.0,553412.0,0.0,On time,On time,553412,11.0,-11.0
562118,402078,mobile,ended,-74.0,560643.0,150.0,On time,On time,560643,20.0,130.0
558379,350769,mobile,ended,-73.0,537483.0,540.0,On time,On time,537483,34.0,506.0
538756,359641,mobile,ended,-73.0,534964.0,720.0,On time,On time,534964,-3.0,723.0
562325,347042,connect,ended,-73.0,564123.0,600.0,On time,On time,564123,78.0,522.0
543894,383443,connect,ended,-73.0,539684.0,0.0,On time,On time,539684,-166.0,166.0
549659,367608,connect,ended,-72.0,548833.0,120.0,On time,On time,548833,75.0,45.0
563004,275364,connect,ended,-72.0,567827.0,0.0,On time,On time,567827,-6.0,6.0
552306,356673,mobile,ended,-72.0,551565.0,180.0,On time,On time,551565,176.0,4.0
559476,404041,connect,ended,-71.0,546640.0,720.0,On time,On time,546640,-44.0,764.0
528135,363936,mobile,ended,-71.0,524255.0,240.0,On time,On time,524255,53.0,187.0
563213,263232,mobile,ended,-71.0,565495.0,240.0,On time,On time,565495,6.0,234.0
565100,374741,connect,ended,-71.0,566177.0,0.0,On time,On time,566177,-49.0,49.0
553385,358772,connect,ended,-71.0,543328.0,120.0,On time,On time,543328,-9.0,129.0
556060,392479,mobile,ended,-70.0,565840.0,660.0,On time,On time,565840,-94.0,754.0
565991,407389,mobile,ended,-70.0,567843.0,150.0,On time,On time,567843,93.0,57.0
556659,310219,connect,ended,-70.0,549808.0,480.0,On time,On time,549808,54.0,426.0
557540,375047,connect,ended,-69.0,552358.0,630.0,On time,On time,552358,-7.0,637.0
541103,359864,mobile,ended,-69.0,527333.0,60.0,On time,On time,527333,15.0,45.0
